Deal Description,Title,Description,Original Price,Sales Price,Rating,Deal URL,Normal Link,Image URL,Category,Date Found,Promo Start date,Promo End date,Finder,How Found,Deal Status,Website Status,Email Status,Socials Status,Social Affiliate Link (Short),Notes
Holiday Deals @ Rad Power E-bikes! (Up to 30% off + Free Battery),,,,,4,,https://www.radpowerbikes.com/pages/sales-deals,,Manual,12/9/2024,,,Jet Gatewood,Manual,Dead,Ignore,Ignore,Ignore,,
WAS $139 Is $69.50 - Super Down PRO Glassing Glomitt,,,,,5,,https://www.kuiu.com/products/super-down-pro-glassing-glomitt-vias-camouflage,,Manual,12/9/2024,,,Jet Gatewood,Manual,Duplicate,Ignore,Ignore,Ignore,,
30% Off SeaKight Falcan III Baitcaster Reel (Final Price Only $28!!),,,,,3,https://www.amazon.com/SeaKnight-Baitcasting-Magnetic-Baitcaster-Stainless/dp/B0CKYW7HX7?pf_rd_p=cc80e5f3-8f2d-4ce4-856f-8a5ada49e503&pf_rd_r=AHDBR0SESN866TGM6P1J&sr=1-3-536c0d5e-79ba-421d-8970-56de02a627ab&th=1&linkCode=ll1&tag=honeyhole-page-20&linkId=4a74e9b3b63010fb799f6bebf0c642dc&language=en_US&ref_=as_li_ss_tl,https://www.amazon.com/SeaKnight-Baitcasting-Magnetic-Baitcaster-Stainless/dp/B0CKYW7HX7/ref=hw_24_h_dagw_d?pf_rd_p=cc80e5f3-8f2d-4ce4-856f-8a5ada49e503&pf_rd_r=AHDBR0SESN866TGM6P1J&sr=1-3-536c0d5e-79ba-421d-8970-56de02a627ab&th=1,,Manual,12/9/2024,,,Jet Gatewood,Manual,Dead,Removed,Ignore,Ignore,,
"HUGE ICE FISHING SALE!! Up To 60% Off Rods, Augers, Outerwear!",Huge Ice Fishing Sale,"HUGE ICE FISHING SALE!! Up To 60% Off Rods, Augers, Outerwear!",150,80,4,https://www.avantlink.com/click.php?tt=el&merchant_id=e21b2ad7-382e-4db9-b77e-22f8b11c5c01&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.scheels.com%2Fc%2Fice-fishing%2F&ctc=honeyhole,https://www.scheels.com/c/ice-fishing/,https://scheels.scene7.com/is/image/Scheels/08227164100?wid=640,fishing-gear,12/9/2024,,,Jet Gatewood,Manual,Active,Live,Ignore,Posted,https://www.avantlink.com/click.php?tt=el&merchant_id=e21b2ad7-382e-4db9-b77e-22f8b11c5c01&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.scheels.com%2Fc%2Fice-fishing%2F%3Favad%3D236121_a403f5d21%26utm_source%3Doutdoorempire.com%26utm_medium%3Daffiliate%26utm_campaign%3Davantlink,
9MM Amunition Sale!,,,,,3,,https://www.brownells.com/ammunition/handgun-ammunition/range-dynamics-9mm-luger-ammo/,,Manual,12/9/2024,,,Jet Gatewood,Manual,Dead,Ignore,Ignore,Ignore,,
KILLER SMITH OPTICS DISCOUNT (40% OFF),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=e21b2ad7-382e-4db9-b77e-22f8b11c5c01&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.scheels.com%2Fsearch%2Fsale%2F%3Fq%3Ddanner&ctc=honeyhole,https://www.smithoptics.com/en_US/c/warehouse-sale/,,Manual,12/9/2024,,,Jet Gatewood,Manual,Duplicate,Ignore,Ignore,Ignore,,
50% OFF Gerber Armbar Scout (was $50 now $25),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=d463def4-9150-47e5-9d6b-4543292f17bc&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.gerbergear.com%2Fen-us%2Fshop%2Fmulti-tools%2Fall-multi-tools%2Farmbar-scout-green-1064403&ctc=honeyhole,https://www.gerbergear.com/en-us/shop/multi-tools/all-multi-tools/armbar-scout-green-1064403,,Affiliate Email,12/9/2024,,12/17/2024,Chase Fly,Affiliate Email,Dead,Removed,Sent,Ignore,,
UP TO 50% OFF Gerber Knives and Hatchets! valid until 12/17,,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=d463def4-9150-47e5-9d6b-4543292f17bc&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.gerbergear.com%2Fen-us%2Fshop%2Ffeatured%2Fsale%23aq%3D%40categories+%3D%3D+%28%22winter_sale_20off%22%2C%22winter_sale_30off%22%2C%22winter_sale_40off%22%2C%22winter_sale_50off%22%29%26numberOfResults%3D91&ctc=honeyhole,https://www.gerbergear.com/en-us/shop/featured/sale#aq=%40categories%20%3D%3D%20(%22winter_sale_20off%22%2C%22winter_sale_30off%22%2C%22winter_sale_40off%22%2C%22winter_sale_50off%22)&numberOfResults=91,,Affiliate Email,12/9/2024,,12/17/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
20% OFF YETI Roadie 24 Coolers & More YETI Deals on Amazon! (was $250 now $200),Yeti Roadie 24 Cooler,20% OFF YETI Roadie 24 Coolers & More YETI Deals on Amazon! (was $250 now $200),250,200,3,https://www.amazon.com/stores/page/1E4D4A1D-181B-4581-8F59-B69FD597FEBD?&linkCode=ll2&tag=honeyhole-page-20&linkId=831eef1fadfc6c09a5d26ce8831cfbb3&language=en_US&ref_=as_li_ss_tl,https://www.amazon.com/stores/page/1E4D4A1D-181B-4581-8F59-B69FD597FEBD,https://m.media-amazon.com/images/I/51HYRkRxKBL.__AC_SX300_SY300_QL70_FMwebp_.jpg,camping-gear,12/9/2024,,,Chase Fly,Affiliate Email,Active,Live,Sent,Posted,https://amzn.to/43iYgcn,
25% OFF LaCrosse Alphaburly Pro 1000G Boots—These will keep you warm! (was $230 now $172),,,,,3,https://www.avantlink.com/click.php?tt=el&merchant_id=e21b2ad7-382e-4db9-b77e-22f8b11c5c01&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.scheels.com%2Fp%2F61263251780%2F%3FqueryID%3Daec9d8fea7455b5b7c5206cf9b994a1b&ctc=honeyhole,https://www.scheels.com/p/61263251780/?queryID=aec9d8fea7455b5b7c5206cf9b994a1b,,Affiliate Email,12/9/2024,,,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
25% OFF LaCrosse Boots and Waders!,,,,,3,https://www.avantlink.com/click.php?tt=el&merchant_id=e21b2ad7-382e-4db9-b77e-22f8b11c5c01&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.scheels.com%2Fsearch%2Fsale%2F%3Fq%3Dlacrosse&ctc=honeyhole,https://www.scheels.com/search/sale/?q=lacrosse,,Affiliate Email,12/9/2024,,,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
25% OFF Danner Boots! (Save up to $118),,,,,3,,https://www.scheels.com/search/sale/?q=danner,,Affiliate Email,12/9/2024,,,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
44% Simms Challenger Fishing Hoodie! Use Code 'Holiday 30' for the Extra 30% Off (was $80 now $45),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=1858eb6c-556f-4fd7-9f0c-6ca55c6b1c50&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.simmsfishing.com%2Fcollections%2Ffeatured-sale-dtc%2Fproducts%2Fms-simms-challenger-hoody-sale-f24&ctc=honeyhole,https://www.simmsfishing.com/collections/featured-sale-dtc/products/ms-simms-challenger-hoody-sale-f24,,Affiliate Email,12/9/2024,,,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
EXTRA 30% OFF Already Discounted Gear at Simms Fishing! (USE CODE 'Holiday 30''),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=1858eb6c-556f-4fd7-9f0c-6ca55c6b1c50&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.simmsfishing.com%2Fcollections%2Ffeatured-sale-dtc&ctc=honeyhole,https://www.simmsfishing.com/collections/featured-sale-dtc,,Affiliate Email,12/9/2024,,12/13/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
"25% OFF Stocking Stuffers at Simms FIshing! (Hats, gloves, socks)",,,,,3,https://www.avantlink.com/click.php?tt=el&merchant_id=1858eb6c-556f-4fd7-9f0c-6ca55c6b1c50&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.simmsfishing.com%2Fcollections%2Ffeatured-sale&ctc=honeyhole,https://www.simmsfishing.com/collections/featured-sale,,Affiliate Email,12/9/2024,12/5/2024,12/16/2024,Chase Fly,Affiliate Email,Dead,Removed,Ignore,Ignore,,
56% OFF Eureka Tetragon NX 5-Person Tent! (was $220 now $98),,,,,5,https://www.avantlink.com/click.php?tt=el&merchant_id=358fd954-c6b8-44a1-9ca9-aaad445d2dfb&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.campsaver.com%2Feureka-tetragon-nx-5-tent.html&ctc=honeyhole,https://www.campsaver.com/eureka-tetragon-nx-5-tent.html,,Manual,12/9/2024,,,Chase Fly,Manual,Dead,Removed,Ignore,Ignore,,
63% OFF a Titan Damascus Fixed Blade Knife! (was $125 now $46),,,,,5,https://www.avantlink.com/click.php?tt=el&merchant_id=358fd954-c6b8-44a1-9ca9-aaad445d2dfb&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.campsaver.com%2Ftitan-damascus-fixed-blade-knife-td-100.html&ctc=honeyhole,https://www.campsaver.com/titan-damascus-fixed-blade-knife-td-100.html,,Manual,12/9/2024,,,Chase Fly,Manual,Dead,Removed,Ignore,Ignore,,
"ONLY $6 for a 10L Hiking Daypack! Decent quality, too. (63% OFF)",,,,,5,https://www.avantlink.com/click.php?tt=el&merchant_id=358fd954-c6b8-44a1-9ca9-aaad445d2dfb&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.campsaver.com%2Fdecathlon-quechua-nh-100-20-l-hiking-backpack.html&ctc=honeyhole,https://www.campsaver.com/decathlon-quechua-nh-100-20-l-hiking-backpack.html,,Manual,12/9/2024,,,Chase Fly,Manual,Dead,Removed,Ignore,Ignore,,
62% OFF a POPULAR Fjallraven Kanken Backpack! Limited supply (was $180 now $68) ,,,,,5,https://www.avantlink.com/click.php?tt=el&merchant_id=358fd954-c6b8-44a1-9ca9-aaad445d2dfb&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.campsaver.com%2Ffjallraven-kanken-re-wool-laptop-15in-pack.html&ctc=honeyhole,https://www.campsaver.com/fjallraven-kanken-re-wool-laptop-15in-pack.html,,Manual,12/9/2024,,,Chase Fly,Manual,Dead,Removed,Ignore,Ignore,,
60% OFF Sierra Designs Meteor Lite 2P Tent! (was $450 now $179),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=358fd954-c6b8-44a1-9ca9-aaad445d2dfb&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.campsaver.com%2Fsierra-designs-meteor-lite-tent-2-person.html&ctc=honeyhole,https://www.campsaver.com/sierra-designs-meteor-lite-tent-2-person.html,,Manual,12/9/2024,,,Chase Fly,Manual,Dead,Removed,Sent,Ignore,,
59% OFF Rumpl 6 Pack Beer Blanket Kit—Perfect Stocking Stuffers! (was $40 now $16),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=358fd954-c6b8-44a1-9ca9-aaad445d2dfb&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.campsaver.com%2Frumpl-6-pack-beer-blanket-kit.html&ctc=honeyhole,https://www.campsaver.com/rumpl-6-pack-beer-blanket-kit.html,,Manual,12/9/2024,,,Chase Fly,Manual,Dead,Removed,Ignore,Ignore,,
ONLY $5 for a Nite Ize Nitehowl LED Dog Collar! Keep an eye on your pup in the dark (59% OFF),,,,,3,https://www.avantlink.com/click.php?tt=el&merchant_id=358fd954-c6b8-44a1-9ca9-aaad445d2dfb&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.campsaver.com%2Fnite-ize-nitehowl-led-necklace.html&ctc=honeyhole,https://www.campsaver.com/nite-ize-nitehowl-led-necklace.html,,Manual,12/9/2024,,,Chase Fly,Manual,Dead,Removed,Ignore,Ignore,,
37% OFF Gregory Focal (or Facet) Backpack in Select Sizes—One of my favoirites! (was $230 now $146),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=358fd954-c6b8-44a1-9ca9-aaad445d2dfb&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.campsaver.com%2Fgregory-focal-48l-backpack.html%3F_iv_size%3Dsmall%26_iv_code%3DZ27-BP0-GRG11-141330-7416&ctc=honeyhole,https://www.campsaver.com/gregory-focal-48l-backpack.html?_iv_size=small&_iv_code=Z27-BP0-GRG11-141330-7416,,Manual,12/9/2024,,,Chase Fly,Manual,Dead,Removed,Ignore,Ignore,,Facet link https://www.avantlink.com/click.php?tt=el&merchant_id=358fd954-c6b8-44a1-9ca9-aaad445d2dfb&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.campsaver.com%2Fgregory-facet-45l-backpack-women-s.html&ctc=honeyhole
55% OFF Big Agnes Roxy Ann 3N1 15 Degree Sleeping System—AMAZING! (was $400 now $179),,,,,5,https://www.avantlink.com/click.php?tt=el&merchant_id=358fd954-c6b8-44a1-9ca9-aaad445d2dfb&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.campsaver.com%2Fbig-agnes-roxy-ann-3n1-15-650-downtek-sleeping-bag-women-s.html&ctc=honeyhole,https://www.campsaver.com/big-agnes-roxy-ann-3n1-15-650-downtek-sleeping-bag-women-s.html,,Manual,12/9/2024,,,Chase Fly,Manual,Active,Removed,Sent,Posted,,now 28% and old deal 
54% OFF Gregory Nano Waistpack! (was $40 now $18),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=358fd954-c6b8-44a1-9ca9-aaad445d2dfb&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.campsaver.com%2Fgregory-nano-waistpack-pack.html&ctc=honeyhole,https://www.campsaver.com/gregory-nano-waistpack-pack.html,,Manual,12/9/2024,,,Chase Fly,Manual,Dead,Removed,Ignore,Ignore,,
50% OFF Padded Camp Chair—Ideal for cold weather! (was $80 now $40),,,,,4,https://cabelas.xhuc.net/N99vYN,https://www.cabelas.com/shop/en/bass-pro-shops-padded-chair,,Manual,12/9/2024,,,Chase Fly,Manual,Dead,Removed,Ignore,Ignore,,https://bassproshops.vzck.net/mOOJkZ
70% OFF Sitka Mountain Evo Jacket—WOW! (was $329 now $99),,,,,5,https://www.avantlink.com/click.php?tool_type=cl&merchant_id=da743e74-18d9-45a9-b95d-8bc389bec74d&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.sitkagear.com%2Fproducts%2Fmountain-evo-jacket%2Foptifade-subalpine&ctc=honeyhole,https://www.sitkagear.com/products/mountain-evo-jacket/optifade-subalpine,,Manual,12/9/2024,,,Chase Fly,Manual,Dead,Removed,Ignore,Ignore,,
$80 OFF Sierra Designs Meteor 3-Person Tent! Current model (was $320 now $240),,,,,3,https://www.avantlink.com/click.php?tt=el&merchant_id=8377f025-608d-4a3a-855b-b38039ee9529&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fsierradesigns.com%2Fmeteor-3-person-tent%2F,https://sierradesigns.com/meteor-3-person-tent/,,Manual,12/11/2024,,,Jet Gatewood,Manual,Dead,Removed,Ignore,Ignore,,
$62 OFF Award Winning Tent! Sierra Designs Meteor 2P (was $270 now $203),,,,,3,https://www.avantlink.com/click.php?tt=el&merchant_id=8377f025-608d-4a3a-855b-b38039ee9529&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fsierradesigns.com%2Fmeteor-2-person-tent%2F&ctc=honeyhole,https://sierradesigns.com/meteor-2-person-tent/,,Manual,12/11/2024,,,Jet Gatewood,Manual,Dead,Removed,Ignore,Ignore,,
"30% OFF Protekt Performance Supplement Bundles—for hydration, energy, and rest (Holiday Sale)",,,,,3,https://www.protekt.com/OUTDOOREMPIRE,https://protekt.com/collections/all-products?,,Manual,12/11/2024,,,Jet Gatewood,Manual,Dead,Removed,Ignore,Ignore,,
$50 OFF TOPO DESIGNS Shorts! (was $89 now $39),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=a6dc4029-3e05-45a2-84c7-39f62c33d79b&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Ftopodesigns.com%2Fproducts%2Fretro-river-shorts-mens%3Fvariant%3D42933986263093&ctc=honeyhole,https://topodesigns.com/products/retro-river-shorts-mens?variant=42933986263093,,Manual,12/11/2024,,,Jet Gatewood,Manual,Dead,Removed,Ignore,Ignore,,
$58 OFF Womens TOPO DESIGNS Running Shorts (was $89 Now $31!),,,,,4,,https://topodesigns.com/products/global-trek-shorts-womens?variant=42942345805877,,Manual,12/11/2024,,,Jet Gatewood,Manual,Dead,Ignore,Ignore,Ignore,,Sold Out
$72 OFF Womans Jogger Kit TOPO DESIGNS (was $163 now $72),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=a6dc4029-3e05-45a2-84c7-39f62c33d79b&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Ftopodesigns.com%2Fproducts%2Fglobal-jogger-run-kit-womens&ctc=honeyhole,https://topodesigns.com/products/global-jogger-run-kit-womens,,Manual,12/11/2024,,,Jet Gatewood,Manual,Dead,Removed,Ignore,Ignore,,
49% OFF TOPO DESIGNS Dash Pack School Kit (All your kid needs for class!),,,,,5,https://www.avantlink.com/click.php?tt=el&merchant_id=a6dc4029-3e05-45a2-84c7-39f62c33d79b&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Ftopodesigns.com%2Fproducts%2Fdash-pack-school-kit&ctc=honeyhole,https://topodesigns.com/products/dash-pack-school-kit,,Manual,12/11/2024,,,Jet Gatewood,Manual,Dead,Removed,Ignore,Ignore,,
30% OFF TOPO DESIGNS Mountain Gear Bag Climbing Kit (was $189 now $132),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=a6dc4029-3e05-45a2-84c7-39f62c33d79b&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Ftopodesigns.com%2Fproducts%2Fmountain-gear-bag-climbing-kit&ctc=honeyhole,https://topodesigns.com/products/mountain-gear-bag-climbing-kit (was $189 now $132),,Manual,12/11/2024,,,Jet Gatewood,Manual,Dead,Removed,Ignore,Posted,https://alnk.to/eDSGsVN,
30% OFF  TOPO DESIGNS Global Travel Briefcase Kit,,,,,3,,https://topodesigns.com/products/global-travel-briefcase-kit,,Manual,12/11/2024,,,Jet Gatewood,Manual,Dead,Ignore,Ignore,Ignore,,
70% OFF TOPO DESIGNS Men's River Shorts (FINAL SALE was $79 now $24),,,,,5,https://www.avantlink.com/click.php?tt=el&merchant_id=a6dc4029-3e05-45a2-84c7-39f62c33d79b&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Ftopodesigns.com%2Fproducts%2Friver-short%3Fvariant%3D42980222206005&ctc=honeyhole,https://topodesigns.com/products/river-short?variant=42980222206005,,Manual,12/11/2024,,,Jet Gatewood,Manual,Dead,Removed,Sent,Ignore,,
70% OFF Women's River Shorts (Final Sale was $79 now $24),,,,,5,https://www.avantlink.com/click.php?tt=el&merchant_id=a6dc4029-3e05-45a2-84c7-39f62c33d79b&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Ftopodesigns.com%2Fproducts%2Fwomens-river-short%3Fvariant%3D42979829547061&ctc=honeyhole,https://topodesigns.com/products/womens-river-short?variant=42979829547061,,Manual,12/11/2024,,,Jet Gatewood,Manual,Dead,Removed,Sent,Ignore,,
65% OFF Global Shorts - Women's - Final Sale (Was $79 Now $29),,,,,5,https://www.avantlink.com/click.php?tt=el&merchant_id=a6dc4029-3e05-45a2-84c7-39f62c33d79b&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Ftopodesigns.com%2Fproducts%2Fwomens-global-shorts%3Fvariant%3D42081504231477&ctc=honeyhole,https://topodesigns.com/products/womens-global-shorts?variant=42081504231477,,Manual,12/11/2024,,,Jet Gatewood,Manual,Dead,Removed,Ignore,Ignore,,
80% OFF EXPED Bivy Booty—AWESOME for Winter Camping! (was $150 now $30),,,,,5,https://www.avantlink.com/click.php?tt=el&merchant_id=e5ff97ca-3441-446a-a2fd-85687f3db1de&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.expedusa.com%2Fproducts%2Fbivy-booty&ctc=honeyhole,https://www.expedusa.com/products/bivy-booty,,Manual,12/11/2024,,,Jet Gatewood,Manual,Dead,Removed,Sent,Posted,https://alnk.to/a44YXJz,
SAVE 75% on Super-Lightweight Tent stakes—Only $10 for 5!,,,,,5,https://www.avantlink.com/click.php?tt=el&merchant_id=e5ff97ca-3441-446a-a2fd-85687f3db1de&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.expedusa.com%2Fproducts%2Fv-peg&ctc=honeyhole,https://www.expedusa.com/products/v-peg,,Manual,12/11/2024,,,Jet Gatewood,Manual,Dead,Removed,Ignore,Ignore,,
60% OFF a Down 32 degree sleeping bag! (Trekkinglite 0°C / 32°F),,,,,5,https://www.avantlink.com/click.php?tt=el&merchant_id=e5ff97ca-3441-446a-a2fd-85687f3db1de&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.expedusa.com%2Fproducts%2Ftrekkinglite-0&ctc=honeyhole,https://www.expedusa.com/products/trekkinglite-0,,Manual,12/11/2024,,,Jet Gatewood,Manual,Dead,Removed,Sent,Posted,https://alnk.to/7X5TbWX,
15% OFF Vaer Field Watches! My favorite is the C5 Tactical Solar (was $339 now $288),,,,,3,https://vaer-watches.sjv.io/EEE4gn,https://www.vaerwatches.com/products/c5-tactical-field-40mm-usa-solar,,Manual,12/13/2024,,,Chase Fly,Manual,Dead,Removed,Ignore,Ignore,,
Save 26% on Silva Starter #1-2-3 Compass (was $38 now $28),,,,,3,https://www.avantlink.com/click.php?tt=el&merchant_id=358fd954-c6b8-44a1-9ca9-aaad445d2dfb&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.campsaver.com%2Fsilva-starter-1-2-3-compass-qcvuz.html&ctc=honeyhole,https://www.campsaver.com/silva-starter-1-2-3-compass-qcvuz.html,,Manual,11/25/2024,,,Chase Fly,Manual,Dead,Removed,Ignore,Ignore,,
25% OFF Famous Kavu Rope Bag! (was $60 now $41),,,,,5,https://www.avantlink.com/click.php?tt=el&merchant_id=d23e5a78-c18a-48c1-81a3-f8f655b781be&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fkavu.com%2Fcollections%2Fsale&ctc=honeyhole,https://kavu.com/collections/sale,,Manual,12/13/2024,,,Jet,Manual,Dead,Removed,Ignore,Ignore,,
 40% OFF Kavu Dress Shirt (Welland),,,,,4,,https://kavu.com/collections/sale/products/welland,,Manual,12/13/2024,,,Jet,Manual,Dead,Ignore,Ignore,Ignore,,
$14 OFF Classic Kavu Strapvisor (was $35 now $21),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=d23e5a78-c18a-48c1-81a3-f8f655b781be&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fkavu.com%2Fcollections%2Fsale%2Fproducts%2Forganic-strapvisor&ctc=honeyhole,https://kavu.com/collections/sale/products/organic-strapvisor,,Manual,12/13/2024,,,Jet,Manual,Dead,Removed,Ignore,Ignore,,
SAVE $30 on 1/4 Zip Midweight Base Layer 100% Merino WOOL—including CAMO! (was $120 now $90),,,,,4,https://www.avantlink.com/click.php?tt=el&merchant_id=c259e5f0-7344-4972-9b81-c140a02b03c7&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.minus33.com%2Fcollections%2Fmens-on-sale-wool%2Fproducts%2F100-merino-wool-isolation-mens-1-4-zip-midweight-clearance%3Fvariant%3D43828298940654&ctc=honeyhole,https://www.minus33.com/collections/mens-on-sale-wool/products/100-merino-wool-isolation-mens-1-4-zip-midweight-clearance,,Manual,12/13/2024,,,Jet,Manual,Active,Removed,Ignore,Posted,https://alnk.to/880EaM4,old deal 
15% OFF site wide Watches at VAER,,,,,3,,https://www.vaerwatches.com/collections/all-watches-1,,Manual,12/13/2024,,,Jet,Manual,Duplicate,Ignore,Ignore,Ignore,,
59% OFF Semi Auto Shotgun DICKINSON ARMS CK2 TP (was $489.99 now $199.99),,,,,4,,https://www.guns.com/firearms/p/dickinson-arms-ck2-tp?i=108402,,Manual,12/13/2024,,,Jet,Manual,Active,Ignore,Ignore,Ignore,,Tactical
SAVE $434 on a Handgun FN 509 COMPACT TACTICAL (Features Viper Red Dot),,,,,3,,https://www.guns.com/firearms/p/fn-509-compact-tactical-features-viper-red-dot?i=270025,,Manual,12/13/2024,,,Jet,Manual,Active,Ignore,Ignore,Ignore,,Tactical
25% OFF Site Wide At Ignik (FireCan Firepits!),,,,,3,,https://ignik.com/collections/shop-all,,Manual,12/13/2024,,,Jet,Manual,Dead,Ignore,Ignore,Ignore,,
40% OFF Large Orange Camp Pillow—SUPER COMFY!!! (was $55 now $33),Large Orange Camp Pillow,40% OFF Large Orange Camp Pillow—SUPER COMFY!!! (was $55 now $33),55,33,3,https://www.avantlink.com/click.php?tt=el&merchant_id=128eaf09-afe7-4caa-a482-b6119a342339&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fklymit.com%2Fproducts%2Fdrift-camp-pillow%3Fvariant%3D45254011125919&ctc=honeyhole,https://klymit.com/collections/outlet-store/products/drift-camp-pillow,https://klymit.com/cdn/shop/files/drift-pillow-orchid_12DROC01C_front.webp?v=1740777388&width=1600,camping-gear,12/13/2024,,,Jet,Manual,Active,Live,Ignore,Ignore,,
25% OFF Klymit Static V Lite Eco Sleeping Pad! (was $90 now $67),,,,,3,https://www.avantlink.com/click.php?tt=el&merchant_id=128eaf09-afe7-4caa-a482-b6119a342339&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fklymit.com%2Fcollections%2Foutlet-store%2Fproducts%2Fstatic-v-lite-eco-sleeping-pad&ctc=honeyhole,https://klymit.com/collections/outlet-store/products/static-v-lite-eco-sleeping-pad,,Manual,12/13/2024,,,Jet,Manual,Dead,Removed,Ignore,Ignore,,
60% OFF Quickdraw Rangefinder Tether System (was $50 now $20),,,,,4,,https://www.leupold.com/quickdraw-rangefinder-tether-system,,Manual,12/13/2024,,,Jet,Manual,Active,Ignore,Ignore,Ignore,,
"60% OFF GO Afield Binocular Case, Small (Was $19.99 now $7.99)",,,,,4,,https://www.leupold.com/go-afield-binocular-case-s,,Manual,12/13/2024,,,Jet,Manual,Active,Ignore,Ignore,Ignore,,
